U,I
5.38,0.03
6.25,0.09
7.79,0.05
8.20,0.03
8.67,0.02
9.13,0.02
9.36,0.03
10.19,0.15
10.83,0.35
11.51,0.23
13.17,0.03
13.40,0.02
13.75,0.01
14.08,0.02
15.16,0.23
15.91,0.50
16.87,0.20
17.77,0.02
18.07,0.01
18.43,0.01
18.50,0.02
19.72,0.50
20.36,1.00
21.58,0.15
22.35,0.02
22.45,0.01
22.67,0.01
23.10,0.02
24.06,0.40
25.35,1.50
26.04,0.45
26.99,0.02
27.23,0.01
27.71,0.01
27.80,0.02
28.69,0.45
30.44,2.00
30.92,0.50
31.92,0.02
32.30,0.01
32.63,0.01
32.67,0.02
33.78,0.55
34.99,2.25
35.92,0.40
36.88,0.02
37.26,0.01
37.38,0.02
37.45,0.03
38.56,1.00
39.85,3.50
40.67,1.00
