 04/29/35   06:07:45;A:\TRACE021.CSV;
Title:                   ;;
Model:                   ;E4440A;
Serial Number:           ;MY46186680;
Center Frequency:        ;7550000000;Hz
Span:                    ;14900000000;Hz
Resolution Bandwidth:    ;3000000;Hz
Video Bandwidth:         ;50000000;Hz
Reference Level:         ;0.00000e+00;dBm
Sweep Time:              ;2.98000e-02;Sec
Num Points:              ;101;
;;
;;
;Trace 1;
Hz;dBm;
100000000.000; -4.10630e+01;
249000000.000; -2.68760e+01;
398000000.000; -1.80640e+01;
547000000.000; -1.34480e+01;
696000000.000; -1.39270e+01;
845000000.000; -1.42990e+01;
994000000.000; -1.46000e+01;
1143000000.000; -1.55450e+01;
1292000000.000; -1.56860e+01;
1441000000.000; -1.54430e+01;
1590000000.000; -1.63440e+01;
1739000000.000; -1.63430e+01;
1888000000.000; -1.66380e+01;
2037000000.000; -1.71180e+01;
2186000000.000; -1.73090e+01;
2335000000.000; -1.67520e+01;
2484000000.000; -1.80080e+01;
2633000000.000; -1.77460e+01;
2782000000.000; -1.76930e+01;
2931000000.000; -1.73810e+01;
3080000000.000; -1.70540e+01;
3229000000.000; -1.66860e+01;
3378000000.000; -1.57690e+01;
3527000000.000; -1.70490e+01;
3676000000.000; -1.65350e+01;
3825000000.000; -1.63420e+01;
3974000000.000; -1.69640e+01;
4123000000.000; -1.68730e+01;
4272000000.000; -1.65500e+01;
4421000000.000; -1.70390e+01;
4570000000.000; -1.73210e+01;
4719000000.000; -1.71090e+01;
4868000000.000; -1.73120e+01;
5017000000.000; -1.78750e+01;
5166000000.000; -1.79500e+01;
5315000000.000; -1.81310e+01;
5464000000.000; -1.89350e+01;
5613000000.000; -1.93670e+01;
5762000000.000; -1.95510e+01;
5911000000.000; -2.03450e+01;
6060000000.000; -2.15800e+01;
6209000000.000; -2.17450e+01;
6358000000.000; -2.25910e+01;
6507000000.000; -2.28510e+01;
6656000000.000; -2.21350e+01;
6805000000.000; -2.27400e+01;
6954000000.000; -2.27680e+01;
7103000000.000; -2.37910e+01;
7252000000.000; -2.35090e+01;
7401000000.000; -2.37830e+01;
7550000000.000; -2.39960e+01;
7699000000.000; -2.45930e+01;
7848000000.000; -2.41850e+01;
7997000000.000; -2.57850e+01;
8146000000.000; -2.42910e+01;
8295000000.000; -2.50840e+01;
8444000000.000; -2.47140e+01;
8593000000.000; -2.53540e+01;
8742000000.000; -2.50960e+01;
8891000000.000; -2.50040e+01;
9040000000.000; -2.48670e+01;
9189000000.000; -2.48220e+01;
9338000000.000; -2.56710e+01;
9487000000.000; -2.66920e+01;
9636000000.000; -2.88650e+01;
9785000000.000; -3.05750e+01;
9934000000.000; -3.38510e+01;
10083000000.000; -3.62140e+01;
10232000000.000; -3.77560e+01;
10381000000.000; -3.85920e+01;
10530000000.000; -4.16300e+01;
10679000000.000; -4.30260e+01;
10828000000.000; -4.46490e+01;
10977000000.000; -4.72030e+01;
11126000000.000; -5.04350e+01;
11275000000.000; -5.27770e+01;
11424000000.000; -5.59780e+01;
11573000000.000; -5.51660e+01;
11722000000.000; -5.21090e+01;
11871000000.000; -4.99150e+01;
12020000000.000; -4.85580e+01;
12169000000.000; -4.92730e+01;
12318000000.000; -5.13220e+01;
12467000000.000; -5.22420e+01;
12616000000.000; -5.36630e+01;
12765000000.000; -5.47820e+01;
12914000000.000; -5.55770e+01;
13063000000.000; -5.68280e+01;
13212000000.000; -5.67110e+01;
13361000000.000; -5.82290e+01;
13510000000.000; -5.72460e+01;
13659000000.000; -5.78670e+01;
13808000000.000; -5.69350e+01;
13957000000.000; -5.82500e+01;
14106000000.000; -5.80630e+01;
14255000000.000; -5.94440e+01;
14404000000.000; -5.92900e+01;
14553000000.000; -5.88500e+01;
14702000000.000; -5.70910e+01;
14851000000.000; -5.61280e+01;
15000000000.000; -5.51040e+01;
