t	Dynamometr	EMG
0	-3.45285	-0.0628662
0.005	-3.47028	0.0100708
0.01	-3.47028	0.00854492
0.015	-3.47028	0.0289917
0.02	-3.47028	0.027771
0.025	-3.47028	0.0244141
0.03	-3.47028	-0.00335693
0.035	-3.47028	-0.0357056
0.04	-3.47028	0.0119019
0.045	-3.45285	0.0216675
0.05	-3.45285	0.00579834
0.055	-3.45285	0.000915527
0.06	-3.45285	0.03479
0.065	-3.45285	0.0137329
0.07	-3.47028	0.0201416
0.075	-3.47028	-0.0183105
0.08	-3.47028	-0.0463867
0.085	-3.47028	0.000305176
0.09	-3.47028	0.0234985
0.095	-3.45285	-0.0195313
0.1	-3.45285	0.0305176
0.105	-3.43541	0.0256348
0.11	-3.43541	0.0167847
0.115	-3.43541	-0.0180054
0.12	-3.43541	-0.0482178
0.125	-3.41797	0.017395
0.13	-3.41797	0.0375366
0.135	-3.41797	-0.0286865
0.14	-3.43541	-0.0375366
0.145	-3.41797	0.0466919
0.15	-3.38309	-0.043335
0.155	-3.34821	0.0238037
0.16	-3.31334	0.0119019
0.165	-3.2959	0.0228882
0.17	-3.26102	0.0842285
0.175	-3.24358	0.027771
0.18	-3.20871	0.0332642
0.185	-3.17383	0.00488281
0.19	-3.13895	-0.0149536
0.195	-3.12151	-0.0152588
0.2	-3.10407	0.00915527
0.205	-3.08664	-0.027771
0.21	-3.05176	0.022583
0.215	-3.03432	-0.0210571
0.22	-3.03432	-0.00610352
0.225	-3.03432	-0.000610352
0.23	-3.01688	-0.0527954
0.235	-3.01688	0.0610352
0.24	-3.01688	-0.0689697
0.245	-2.99944	0.0909424
0.25	-2.982	-0.0186157
0.255	-2.96456	-0.0271606
0.26	-2.96456	0.0442505
0.265	-2.94713	0.0576782
0.27	-2.94713	0.0396729
0.275	-2.96456	0.00549316
0.28	-2.94713	-0.0628662
0.285	-2.92969	-0.0234985
0.29	-2.91225	0.0167847
0.295	-2.87737	0.0390625
0.3	-2.85993	-0.050354
0.305	-2.82506	-0.00396729
0.31	-2.80762	-0.0308228
0.315	-2.79018	0.101929
0.32	-2.79018	0.0115967
0.325	-2.7553	-0.00427246
0.33	-2.72042	-0.0326538
0.335	-2.68555	0.105591
0.34	-2.65067	-0.0366211
0.345	-2.61579	0.0167847
0.35	-2.58092	0.000610352
0.355	-2.54604	0.0241089
0.36	-2.51116	0.0506592
0.365	-2.49372	-0.0628662
0.37	-2.45884	0.00793457
0.375	-2.44141	0.0198364
0.38	-2.40653	-0.0396729
0.385	-2.38909	0.0280762
0.39	-2.37165	0.0469971
0.395	-2.35421	-0.0509644
0.4	-2.33677	-0.020752
0.405	-2.31934	0.0845337
0.41	-2.28446	-0.10498
0.415	-2.24958	0.192871
0.42	-2.2147	0.0125122
0.425	-2.17983	-0.0158691
0.43	-2.14495	0.0238037
0.435	-2.0752	-0.0320435
0.44	-2.00544	0.109253
0.445	-1.93569	-0.131226
0.45	-1.84849	-0.0195313
0.455	-1.79618	0.132141
0.46	-1.74386	0.0198364
0.465	-1.69155	-0.0900269
0.47	-1.63923	0.0390625
0.475	-1.58691	0.0271606
0.48	-1.55204	0.0393677
0.485	-1.5346	0.0198364
0.49	-1.51716	-0.00335693
0.495	-1.48228	-0.0723267
0.5	-1.46484	-0.0704956
0.505	-1.46484	-0.0402832
0.51	-1.44741	0.125122
0.515	-1.44741	-0.0512695
0.52	-1.44741	-0.0125122
0.525	-1.44741	0.00427246
0.53	-1.44741	0.0756836
0.535	-1.42997	0.0296021
0.54	-1.42997	0.0640869
0.545	-1.41253	0.104675
0.55	-1.36021	0.0546265
0.555	-1.3079	0.0592041
0.56	-1.25558	-0.0790405
0.565	-1.23814	-0.0332642
0.57	-1.20326	0.137634
0.575	-1.16839	0.0131226
0.58	-1.13351	-0.129089
0.585	-1.09863	-0.0585938
0.59	-1.06376	-0.194702
0.595	-1.02888	-0.0610352
0.6	-0.976563	-0.191956
0.605	-0.924247	-0.0732422
0.61	-0.854492	0.0653076
0.615	-0.767299	0.202942
0.62	-0.662667	-0.350952
0.625	-0.50572	0.210876
0.63	-0.313895	0.65918
0.635	-0.0697545	0.0769043
0.64	0.209263	-0.281677
0.645	0.50572	-0.558777
0.65	0.784738	0.297546
0.655	1.08119	0.0546265
0.66	1.41253	-0.177917
0.665	1.77874	0.283203
0.67	2.2147	-0.537109
0.675	2.70299	-1.28815
0.68	3.24358	-0.664063
0.685	3.80162	1.32324
0.69	4.42941	-0.242615
0.695	5.12695	-0.473022
0.7	5.85938	0.539551
0.705	6.62667	0.440979
0.71	7.41141	0.671387
0.715	8.23103	1.21338
0.72	9.10296	-0.350037
0.725	9.97489	0.159912
0.73	10.8294	-0.279541
0.735	11.6316	0.962524
0.74	12.3814	0.0933838
0.745	13.1138	-0.928955
0.75	13.7939	-0.210571
0.755	14.4043	0.0610352
0.76	14.9623	-0.858765
0.765	15.4855	-0.608215
0.77	15.9912	0.272827
0.775	16.4621	0.032959
0.78	16.8457	-0.00518799
0.785	17.2119	-0.45105
0.79	17.5781	0.815125
0.795	17.9443	-0.767822
0.8	18.328	-0.00732422
0.805	18.6768	1.34247
0.81	19.043	-0.480042
0.815	19.4092	0.343018
0.82	19.758	0.375977
0.825	20.1067	-0.948792
0.83	20.4381	0.207214
0.835	20.8043	-0.797729
0.84	21.1705	-0.0817871
0.845	21.5193	1.16028
0.85	21.8157	0.154419
0.855	22.1296	1.77948
0.86	22.4435	-1.86493
0.865	22.7574	-0.91095
0.87	23.0539	1.51093
0.875	23.3329	-0.349731
0.88	23.5944	0.404358
0.885	23.8386	-0.213013
0.89	24.0827	-0.657043
0.895	24.3094	0.33905
0.9	24.571	1.30432
0.905	24.85	-0.562439
0.91	25.1116	1.47949
0.915	25.3557	-0.0115967
0.92	25.5999	0.866699
0.925	25.8266	-0.494995
0.93	26.0359	0.732727
0.935	26.2451	-1.12183
0.94	26.4195	-2.32208
0.945	26.5939	2.21832
0.95	26.7334	0.611877
0.955	26.8729	-1.01044
0.96	26.9775	0.380859
0.965	27.0647	-0.0485229
0.97	27.1868	1.23627
0.975	27.3089	-0.794983
0.98	27.4658	2.61108
0.985	27.6228	0.979309
0.99	27.7623	0.128784
0.995	27.9018	-0.4599
1	28.0239	1.14441
1.005	28.1634	-0.943909
1.01	28.3203	0.402527
1.015	28.4598	-1.10352
1.02	28.5993	0.739746
1.025	28.704	-0.289612
1.03	28.7737	0.25177
1.035	28.8435	-1.15356
1.04	28.9307	-0.291443
1.045	29.0004	-1.0733
1.05	29.0702	1.01654
1.055	29.1225	0.30426
1.06	29.2097	0.654297
1.065	29.3143	-0.927734
1.07	29.4189	0.230713
1.075	29.5236	0.863647
1.08	29.6456	0.26947
1.085	29.7677	-1.65344
1.09	29.8898	1.41693
1.095	30.0119	-1.42944
1.1	30.0991	-0.324402
1.105	30.1688	-0.636292
1.11	30.2037	0.300598
1.115	30.256	-0.848389
1.12	30.2734	1.2735
1.125	30.3083	0.455933
1.13	30.3258	0.348511
1.135	30.3432	0.821228
1.14	30.3781	0.36499
1.145	30.4129	0.465698
1.15	30.4304	-0.264893
1.155	30.4304	-0.603027
1.16	30.4478	-0.302124
1.165	30.4653	-0.874329
1.17	30.4653	0.630493
1.175	30.4653	0.341187
1.18	30.4653	0.823059
1.185	30.4827	0.602417
1.19	30.5001	-0.14679
1.195	30.5176	-1.61041
1.2	30.5176	0.112915
1.205	30.5176	0.733643
1.21	30.5176	-0.552979
1.215	30.5176	0.0265503
1.22	30.5176	1.12854
1.225	30.535	-0.527649
1.23	30.5699	-1.58112
1.235	30.6048	-1.17676
1.24	30.6571	0.569458
1.245	30.7268	-1.7807
1.25	30.7792	-1.60004
1.255	30.814	0.581055
1.26	30.7966	-0.093689
1.265	30.7966	-1.66382
1.27	30.7966	1.18225
1.275	30.814	0.11322
1.28	30.8315	0.35675
1.285	30.8489	-0.411682
1.29	30.8838	0.839233
1.295	30.9187	-0.747986
1.3	30.9361	0.361023
1.305	30.9535	0.296631
1.31	30.971	-0.802002
1.315	30.9884	-0.52887
1.32	31.0059	-0.826721
1.325	31.0233	1.30035
1.33	31.0407	-0.622864
1.335	31.0756	0.547485
1.34	31.0931	-0.344238
1.345	31.1105	0.0131226
1.35	31.1105	-0.552063
1.355	31.1279	-0.00946045
1.36	31.1454	-0.0473022
1.365	31.1628	0.692444
1.37	31.1802	-0.797424
1.375	31.1802	0.752258
1.38	31.1802	-0.58197
1.385	31.1802	0.00579834
1.39	31.1802	-0.25116
1.395	31.1802	1.42365
1.4	31.1977	0.801697
1.405	31.2151	0.420532
1.41	31.2326	-0.675964
1.415	31.2674	0.0305176
1.42	31.2674	-0.610046
1.425	31.2674	0.376282
1.43	31.2674	-0.0561523
1.435	31.25	-1.13678
1.44	31.2326	0.559692
1.445	31.1802	0.36499
1.45	31.1105	0.864258
1.455	31.0582	-0.582275
1.46	31.0233	0.866394
1.465	31.0233	-0.827332
1.47	31.0233	0.51239
1.475	31.0059	0.23468
1.48	30.971	-0.0650024
1.485	30.971	-0.968628
1.49	30.9535	0.312195
1.495	30.9535	-0.203247
1.5	30.9535	-1.45905
1.505	30.9187	1.20239
1.51	30.8838	-0.183411
1.515	30.8315	0.646362
1.52	30.7966	-0.119019
1.525	30.7792	-0.15686
1.53	30.7443	-0.960999
1.535	30.7094	0.598145
1.54	30.6396	-0.861206
1.545	30.5873	-0.662231
1.55	30.5525	1.91895
1.555	30.5525	-0.0369263
1.56	30.5525	-0.782166
1.565	30.5525	1.20117
1.57	30.535	0.274353
1.575	30.5001	-0.538025
1.58	30.4653	-0.93689
1.585	30.4478	0.953369
1.59	30.4478	-0.249329
1.595	30.4653	-0.4422
1.6	30.4478	-2.6123
1.605	30.4304	1.90948
1.61	30.4129	0.363464
1.615	30.3955	-0.438538
1.62	30.3781	-0.25177
1.625	30.3781	0.108032
1.63	30.3781	-0.447998
1.635	30.3781	-0.253906
1.64	30.3781	-0.578613
1.645	30.3781	0.779724
1.65	30.3781	-1.94
1.655	30.3606	1.79443
1.66	30.3432	2.22046
1.665	30.3258	0.21759
1.67	30.3258	-0.808105
1.675	30.3258	-0.266418
1.68	30.3083	0.63446
1.685	30.2909	-0.538635
1.69	30.2734	0.0164795
1.695	30.2734	0.834351
1.7	30.2734	-0.61554
1.705	30.2909	-0.887756
1.71	30.2909	1.4325
1.715	30.2734	0.0109863
1.72	30.2734	0.811157
1.725	30.2734	-0.799255
1.73	30.2734	0.647888
1.735	30.2734	-1.62292
1.74	30.2734	0.192871
1.745	30.2734	0.682983
