tm,Dynamometr,EMG
0,-1.49972,0.00305176
8.33E-05,-1.48228,0.0149536
0.000166667,-1.46484,-0.00579834
0.00025,-1.42997,0.000305176
0.000333333,-1.41253,-0.020752
0.000416667,-1.39509,0.0509644
0.0005,-1.39509,-0.00335693
0.000583333,-1.39509,-0.0250244
0.000666667,-1.39509,-0.0158691
0.00075,-1.39509,-0.00671387
0.000833333,-1.39509,0.0158691
0.000916667,-1.39509,-0.0189209
0.001,-1.37765,-0.00366211
0.00108333,-1.37765,-0.0143433
0.00116667,-1.37765,0.0128174
0.00125,-1.39509,0.000610352
0.00133333,-1.39509,-0.0112915
0.00141667,-1.39509,-0.0088501
0.0015,-1.37765,-0.000915527
0.00158333,-1.37765,-0.0152588
0.00166667,-1.37765,-0.0369263
0.00175,-1.39509,0.0445557
0.00183333,-1.41253,-0.00701904
0.00191667,-1.42997,-0.0198364
0.002,-1.44741,0.0143433
0.00208333,-1.48228,0.00732422
0.00216667,-1.49972,0.00640869
0.00225,-1.5346,0.0106812
0.00233333,-1.5346,0.00640869
0.00241667,-1.55204,0.0146484
0.0025,-1.56948,0.00244141
0.00258333,-1.56948,0.00732422
0.00266667,-1.56948,0.0167847
0.00275,-1.58691,-0.00518799
0.00283333,-1.60435,-0.00305176
0.00291667,-1.62179,-0.0231934
0.003,-1.63923,-0.0128174
0.00308333,-1.65667,-0.00701904
0.00316667,-1.67411,-0.0393677
0.00325,-1.67411,-0.0180054
0.00333333,-1.69155,0.00701904
0.00341667,-1.70898,0.0152588
0.0035,-1.72642,0.0262451
0.00358333,-1.74386,0.0268555
0.00366667,-1.7613,-0.00366211
0.00375,-1.77874,0.043335
0.00383333,-1.77874,-0.000305176
0.00391667,-1.77874,-0.00579834
0.004,-1.77874,-0.00732422
0.00408333,-1.79618,0.00671387
0.00416667,-1.83105,-0.00518799
0.00425,-1.84849,-0.00518799
0.00433333,-1.86593,-0.00610352
0.00441667,-1.86593,-0.00549316
0.0045,-1.86593,-0.00579834
0.00458333,-1.90081,-0.0283813
0.00466667,-1.93569,-0.0115967
0.00475,-1.97056,0.0180054
0.00483333,-2.00544,0.0128174
0.00491667,-2.02288,0.0201416
0.005,-2.02288,-0.022583
0.00508333,-2.02288,0.0186157
0.00516667,-2.02288,0.0253296
0.00525,-2.02288,-0.00305176
0.00533333,-2.02288,-0.0137329
0.00541667,-2.04032,0.0106812
0.0055,-2.05776,-0.00335693
0.00558333,-2.0752,-0.0143433
0.00566667,-2.0752,-0.012207
0.00575,-2.0752,0.00793457
0.00583333,-2.0752,-0.022583
0.00591667,-2.0752,-0.00854492
0.006,-2.09263,-0.00549316
0.00608333,-2.11007,0.00366211
0.00616667,-2.11007,-0.00549316
0.00625,-2.12751,0.00915527
0.00633333,-2.12751,-0.00946045
0.00641667,-2.12751,-0.012207
0.0065,-2.12751,0.0512695
0.00658333,-2.12751,-0.0125122
0.00666667,-2.12751,0.0128174
0.00675,-2.12751,-0.0128174
0.00683333,-2.11007,0.0128174
0.00691667,-2.11007,0.0012207
0.007,-2.11007,0.000915527
0.00708333,-2.11007,-0.0180054
0.00716667,-2.11007,-0.0485229
0.00725,-2.11007,0.00274658
0.00733333,-2.11007,-0.00274658
0.00741667,-2.11007,0.0650024
0.0075,-2.11007,0.0488281
0.00758333,-2.11007,-0.0112915
0.00766667,-2.11007,-0.050354
0.00775,-2.09263,-0.00946045
0.00783333,-2.09263,0.00823975
0.00791667,-2.09263,-0.0195313
0.008,-2.09263,-0.0280762
0.00808333,-2.09263,-0.0299072
0.00816667,-2.09263,-0.00610352
0.00825,-2.0752,-0.0292969
0.00833333,-2.0752,0.0405884
0.00841667,-2.05776,0.098877
0.0085,-2.0752,-0.0140381
0.00858333,-2.09263,-0.0692749
0.00866667,-2.09263,0.00274658
0.00875,-2.09263,0
0.00883333,-2.09263,-0.0125122
0.00891667,-2.09263,-0.00335693
0.009,-2.11007,-0.0256348
0.00908333,-2.11007,0.00366211
0.00916667,-2.09263,0
0.00925,-2.0752,0.0338745
0.00933333,-2.04032,-0.0296021
0.00941667,-2.04032,0.0585938
0.0095,-2.02288,0.0372314
0.00958333,-2.00544,0.0201416
0.00966667,-2.00544,0.0143433
0.00975,-1.988,-0.0509644
0.00983333,-1.988,-0.0405884
0.00991667,-1.988,-0.00701904
0.01,-1.97056,-0.0238037
0.0100833,-1.95313,0.0201416
0.0101667,-1.93569,-0.0302124
0.01025,-1.91825,-0.0161743
0.0103333,-1.90081,0.0430298
0.0104167,-1.86593,-0.00244141
0.0105,-1.83105,0.0180054
0.0105833,-1.79618,-0.0134277
0.0106667,-1.7613,-0.0436401
0.01075,-1.74386,0.0552368
0.0108333,-1.72642,0.0125122
0.0109167,-1.70898,-0.0479126
0.011,-1.69155,-0.00518799
0.0110833,-1.65667,0.0106812
0.0111667,-1.62179,0.00335693
0.01125,-1.60435,-0.0344849
0.0113333,-1.58691,-0.0149536
0.0114167,-1.58691,0.0558472
0.0115,-1.56948,0.0088501
0.0115833,-1.56948,-0.00518799
0.0116667,-1.55204,0.00274658
0.01175,-1.5346,0.00579834
0.0118333,-1.5346,-0.0195313
0.0119167,-1.5346,-0.00610352
0.012,-1.5346,-0.00671387
0.0120833,-1.51716,0.0305176
0.0121667,-1.49972,0.0238037
0.01225,-1.49972,-0.00427246
0.0123333,-1.49972,-0.0338745
0.0124167,-1.49972,0.0305176
0.0125,-1.51716,0.0283813
0.0125833,-1.5346,-0.0332642
0.0126667,-1.56948,-0.00183105
0.01275,-1.58691,0.0012207
0.0128333,-1.58691,-0.00854492
0.0129167,-1.58691,-0.010376
0.013,-1.56948,0.00823975
0.0130833,-1.56948,-0.00457764
0.0131667,-1.58691,-0.0180054
0.01325,-1.58691,0.0283813
0.0133333,-1.60435,0.065918
0.0134167,-1.60435,-0.00427246
0.0135,-1.62179,-0.0216675
0.0135833,-1.63923,-0.0152588
0.0136667,-1.67411,0.0131226
0.01375,-1.69155,0.00549316
0.0138333,-1.70898,0.032959
0.0139167,-1.70898,0.0012207
0.014,-1.70898,-0.0396729
0.0140833,-1.70898,-0.00213623
0.0141667,-1.72642,0.00213623
0.01425,-1.72642,-0.00671387
0.0143333,-1.74386,-0.000610352
0.0144167,-1.7613,0.010376
0.0145,-1.77874,-0.0109863
0.0145833,-1.79618,-0.00427246
0.0146667,-1.81362,-0.00396729
0.01475,-1.83105,0.012207
0.0148333,-1.84849,0.022583
0.0149167,-1.88337,-0.0115967
0.015,-1.90081,0.0183105
0.0150833,-1.93569,0.00457764
0.0151667,-1.95313,0.0247192
0.01525,-1.988,-0.00640869
0.0153333,-2.00544,0.0106812
0.0154167,-2.02288,-0.00366211
0.0155,-2.04032,-0.00671387
0.0155833,-2.04032,-0.0115967
0.0156667,-2.05776,0.0143433
0.01575,-2.0752,0.00335693
0.0158333,-2.11007,-0.0192261
0.0159167,-2.14495,-0.0146484
0.016,-2.16239,-0.00335693
0.0160833,-2.19727,-0.0195313
0.0161667,-2.23214,0.0125122
0.01625,-2.24958,0.00640869
0.0163333,-2.26702,0.0192261
0.0164167,-2.3019,0.00579834
0.0165,-2.31934,0.0100708
0.0165833,-2.33677,-0.0119019
0.0166667,-2.35421,-0.00579834
0.01675,-2.37165,0.0180054
0.0168333,-2.40653,0.00732422
0.0169167,-2.44141,-0.00488281
0.017,-2.45884,-0.0131226
0.0170833,-2.49372,0.0140381
0.0171667,-2.51116,0.0228882
0.01725,-2.54604,0.00671387
0.0173333,-2.56348,0.00640869
0.0174167,-2.59835,-0.00549316
0.0175,-2.63323,-0.0186157
0.0175833,-2.65067,-0.0164795
0.0176667,-2.68555,-0.0115967
0.01775,-2.72042,-0.0115967
0.0178333,-2.72042,0.00457764
0.0179167,-2.73786,0.00701904
0.018,-2.7553,0.00488281
0.0180833,-2.77274,-0.0262451
0.0181667,-2.80762,0.0115967
0.01825,-2.82506,0.0131226
0.0183333,-2.84249,0.00671387
0.0184167,-2.85993,0.020752
0.0185,-2.87737,-0.0158691
0.0185833,-2.89481,-0.0250244
0.0186667,-2.91225,-0.0088501
0.01875,-2.92969,-0.00335693
0.0188333,-2.92969,0.0195313
0.0189167,-2.94713,0.020752
0.019,-2.94713,-0.0186157
0.0190833,-2.982,0.00457764
0.0191667,-2.99944,-0.017395
