Model Order,Train MSE,Test MSE
1.000000000000000000e+00,6.241214126927479455e+00,4.381092287372131189e+00
2.000000000000000000e+00,6.052111523275349292e+00,5.453141456707874646e+00
3.000000000000000000e+00,2.989924778822679485e+00,1.659496016406341257e+00
4.000000000000000000e+00,2.995061600148330339e+00,1.889377184980282509e+00
5.000000000000000000e+00,7.394062838807639038e-01,8.879921321567907366e-01
6.000000000000000000e+00,5.083006720627634145e-01,5.910786406346026922e-01
7.000000000000000000e+00,2.559764791677887064e-01,5.587543301761621617e-01
8.000000000000000000e+00,1.695052004195940210e-01,1.316367488419207532e-01
9.000000000000000000e+00,1.683171157354823588e-01,1.371460505505994187e-01
1.000000000000000000e+01,1.606707628726752324e-01,1.972445543889771169e-01
1.100000000000000000e+01,1.475412908151983726e-01,1.885616172207687791e-01
1.200000000000000000e+01,1.472902058576742723e-01,2.318169649647612851e-01
1.300000000000000000e+01,1.472913780853465637e-01,2.282380502812935696e-01
1.400000000000000000e+01,1.473079822813854467e-01,2.277250243862236068e-01
1.500000000000000000e+01,1.473045534867645501e-01,2.270467591837213861e-01
