Model Order,Train MSE,Test MSE
1.000000000000000000e+00,6.241214126927479455e+00,5.836379820021072362e+00
2.000000000000000000e+00,6.052111523275349292e+00,7.435405061292065909e+00
3.000000000000000000e+00,2.989924778822679485e+00,2.275136981596000307e+00
4.000000000000000000e+00,2.995061600148330339e+00,2.566097091848545286e+00
5.000000000000000000e+00,7.394062838807639038e-01,9.455607633480100915e-01
6.000000000000000000e+00,5.083006720627634145e-01,6.594938598771831195e-01
7.000000000000000000e+00,2.559764791677887064e-01,3.445537826074919763e-01
8.000000000000000000e+00,1.695052004195940210e-01,1.421866382791559247e-01
9.000000000000000000e+00,1.683171157354823588e-01,1.448785190346245366e-01
1.000000000000000000e+01,1.606707628726752324e-01,1.838934403422113617e-01
1.100000000000000000e+01,1.475412908151983726e-01,1.636504117533646441e-01
1.200000000000000000e+01,1.472902058576742723e-01,1.843307339939469769e-01
1.300000000000000000e+01,1.472913780853465637e-01,1.827531668234103068e-01
1.400000000000000000e+01,1.473079822813854467e-01,1.824979370979704918e-01
1.500000000000000000e+01,1.473045534867645501e-01,1.822062452109564634e-01
