x,Train,Test
-1.000000000000000000e+01,-7.085491716849404928e+18,-4.736585375963020325e+08
-9.979979515075683594e+00,-6.873807064190058496e+18,-4.670690742004804015e+08
-9.959959983825683594e+00,-6.668044881744221184e+18,-4.605585725351179838e+08
-9.939939498901367188e+00,-6.468031946441104384e+18,-4.541256292117852569e+08
-9.919919967651367188e+00,-6.273637394361359360e+18,-4.477700802848991156e+08
-9.899899482727050781e+00,-6.084696385183153152e+18,-4.414905495794278383e+08
-9.879879951477050781e+00,-5.901084138224501760e+18,-4.352868709091732502e+08
-9.859859466552734375e+00,-5.722643821000752128e+18,-4.291576948699130416e+08
-9.839839935302734375e+00,-5.549256477787544576e+18,-4.231028531778636575e+08
-9.819819450378417969e+00,-5.380772924418067456e+18,-4.171210227629047632e+08
-9.799799919128417969e+00,-5.217079781744319488e+18,-4.112120333832263350e+08
-9.779779434204101562e+00,-5.058035169214751744e+18,-4.053745878719183207e+08
-9.759759902954101562e+00,-4.903531045437944832e+18,-3.996085141652834415e+08
-9.739739418029785156e+00,-4.753432503035648000e+18,-3.939125405744884610e+08
-9.719719886779785156e+00,-4.607636608787694080e+18,-3.882864933467186689e+08
-9.699699401855468750e+00,-4.466015111770414592e+18,-3.827291258517798781e+08
-9.679679870605468750e+00,-4.328469966266719232e+18,-3.772402627771918774e+08
-9.659659385681152344e+00,-4.194879274292967424e+18,-3.718186821375991702e+08
-9.639639854431152344e+00,-4.065149665576275456e+18,-3.664642071870383620e+08
-9.619619369506835938e+00,-3.939165304261318144e+18,-3.611756401767711043e+08
-9.599599838256835938e+00,-3.816837291771200512e+18,-3.559528030503137112e+08
-9.579579353332519531e+00,-3.698055575785840640e+18,-3.507945218928412795e+08
-9.559559822082519531e+00,-3.582735533697210368e+18,-3.457006174571435452e+08
-9.539539337158203125e+00,-3.470772629878512640e+18,-3.406699392650666237e+08
-9.519519805908203125e+00,-3.362086329703665152e+18,-3.357023069953442216e+08
-9.499499320983886719e+00,-3.256577358696964608e+18,-3.307965932146542072e+08
-9.479479789733886719e+00,-3.154169089695272960e+18,-3.259526166412724853e+08
-9.459459304809570312e+00,-3.054767264695803904e+18,-3.211692725002138019e+08
-9.439439773559570312e+00,-2.958298990683315200e+18,-3.164463786598684192e+08
-9.419419288635253906e+00,-2.864674791893212672e+18,-3.117828526223809123e+08
-9.399399757385253906e+00,-2.773825343091213824e+18,-3.071785115138506889e+08
-9.379379272460937500e+00,-2.685665726553756672e+18,-3.026322947375771999e+08
-9.359359741210937500e+00,-2.600130025160743936e+18,-2.981440187820302844e+08
-9.339339256286621094e+00,-2.517137664678420480e+18,-2.937126445808653235e+08
-9.319319725036621094e+00,-2.436625982894030336e+18,-2.893379880866997838e+08
-9.299299240112304688e+00,-2.358518543780446208e+18,-2.850190313978644013e+08
-9.279279708862304688e+00,-2.282755793052623104e+18,-2.807555900300625563e+08
-9.259259223937988281e+00,-2.209265236510437632e+18,-2.765466668856843710e+08
-9.239239692687988281e+00,-2.137990286818683648e+18,-2.723920771396636367e+08
-9.219219207763671875e+00,-2.068862203776601088e+18,-2.682908441428433359e+08
-9.199199676513671875e+00,-2.001827231804412928e+18,-2.642427828227833509e+08
-9.179179191589355469e+00,-1.936820205085998592e+18,-2.602469366281277835e+08
-9.159159660339355469e+00,-1.873790070174659584e+18,-2.563031203297551870e+08
-9.139139175415039062e+00,-1.812675063910193920e+18,-2.524103971283596754e+08
-9.119118690490722656e+00,-1.753423931846223616e+18,-2.485683999122518301e+08
-9.099099159240722656e+00,-1.695986485954012672e+18,-2.447767567350306511e+08
-9.079078674316406250e+00,-1.640305761580329728e+18,-2.410345597879980803e+08
-9.059059143066406250e+00,-1.586336928279023872e+18,-2.373416238297643363e+08
-9.039038658142089844e+00,-1.534026027189849088e+18,-2.336970599603899717e+08
-9.019019126892089844e+00,-1.483330517304228864e+18,-2.301006830785716474e+08
-8.998998641967773438e+00,-1.434199299018782464e+18,-2.265516228641106784e+08
-8.978979110717773438e+00,-1.386592013774999040e+18,-2.230496944348576069e+08
-8.958958625793457031e+00,-1.340460281244986624e+18,-2.195940457259995937e+08
-8.938939094543457031e+00,-1.295765822857884160e+18,-2.161844921511430740e+08
-8.918918609619140625e+00,-1.252462843867777280e+18,-2.128201995811172426e+08
-8.898899078369140625e+00,-1.210515047583403520e+18,-2.095009837994632721e+08
-8.878878593444824219e+00,-1.169879097178109952e+18,-2.062260282974677384e+08
-8.858859062194824219e+00,-1.130520583921449216e+18,-2.029951493004038334e+08
-8.838838577270507812e+00,-1.092398507026505728e+18,-1.998075476093398929e+08
-8.818819046020507812e+00,-1.055480255834510080e+18,-1.966630399607376754e+08
-8.798798561096191406e+00,-1.019727049263522816e+18,-1.935608441592296958e+08
-8.778779029846191406e+00,-9.851079887126492160e+17,-1.905007775196229815e+08
-8.758758544921875000e+00,-9.515864017853608960e+17,-1.874820745483050048e+08
-8.738739013671875000e+00,-9.191330196510274560e+17,-1.845045532033252418e+08
-8.718718528747558594e+00,-8.877131726731571200e+17,-1.815674643953750432e+08
-8.698698997497558594e+00,-8.572991430858568960e+17,-1.786706267884242833e+08
-8.678678512573242188e+00,-8.278581629687735040e+17,-1.758133074043262601e+08
-8.658658981323242188e+00,-7.993639903580584960e+17,-1.729953256734688282e+08
-8.638638496398925781e+00,-7.717856626823648000e+17,-1.702159644399858415e+08
