x,Train,Test
-1.000000000000000000e+01,-1.878062255126195526e+10,-5.387328503954104334e+07
-9.979979515075683594e+00,-1.872134592443252563e+10,-5.385594638637141138e+07
-9.959959983825683594e+00,-1.866030761406308365e+10,-5.383412341351903975e+07
-9.939939498901367188e+00,-1.859751649299773407e+10,-5.380781746621235460e+07
-9.919919967651367188e+00,-1.853299373285648346e+10,-5.377703557395050675e+07
-9.899899482727050781e+00,-1.846674887318365479e+10,-5.374178042559776455e+07
-9.879879951477050781e+00,-1.839880440136553955e+10,-5.370206209733957052e+07
-9.859859466552734375e+00,-1.832917050537849426e+10,-5.365788461702489108e+07
-9.839839935302734375e+00,-1.825787095703124237e+10,-5.360926109640747309e+07
-9.819819450378417969e+00,-1.818491657297663879e+10,-5.355619689497733116e+07
-9.799799919128417969e+00,-1.811033237590349579e+10,-5.349870814458765835e+07
-9.779779434204101562e+00,-1.803412978994254303e+10,-5.343680152634930611e+07
-9.759759902954101562e+00,-1.795633505298881531e+10,-5.337049617242345214e+07
-9.739739418029785156e+00,-1.787696017405746078e+10,-5.329980007286702842e+07
-9.719719886779785156e+00,-1.779603256851657104e+10,-5.322473533607263118e+07
-9.699699401855468750e+00,-1.771356480632980347e+10,-5.314531124574290961e+07
-9.679679870605468750e+00,-1.762958544062319183e+10,-5.306155285818633437e+07
-9.659659385681152344e+00,-1.754410757708649826e+10,-5.297347073286017030e+07
-9.639639854431152344e+00,-1.745716086498920441e+10,-5.288109284148974717e+07
-9.619619369506835938e+00,-1.736875891929798126e+10,-5.278443099884638935e+07
-9.599599838256835938e+00,-1.727893244199886322e+10,-5.268351605545372516e+07
-9.579579353332519531e+00,-1.718769552972273254e+10,-5.257836105845459551e+07
-9.559559822082519531e+00,-1.709507989202460289e+10,-5.246899969650531560e+07
-9.539539337158203125e+00,-1.700110007848972511e+10,-5.235544622372908890e+07
-9.519519805908203125e+00,-1.690578875946988869e+10,-5.223773712228338420e+07
-9.499499320983886719e+00,-1.680916090776728058e+10,-5.211588782549101114e+07
-9.479479789733886719e+00,-1.671125010623360443e+10,-5.198993756050240248e+07
-9.459459304809570312e+00,-1.661207172019548416e+10,-5.185990290973460674e+07
-9.439439773559570312e+00,-1.651166019528672791e+10,-5.172582579304303229e+07
-9.419419288635253906e+00,-1.641003125778597069e+10,-5.158772390957923234e+07
-9.399399757385253906e+00,-1.630722016507761765e+10,-5.144564181594082713e+07
-9.379379272460937500e+00,-1.620324297201759148e+10,-5.129959829347544163e+07
-9.359359741210937500e+00,-1.609813569550609398e+10,-5.114964047599735856e+07
-9.339339256286621094e+00,-1.599191468587915611e+10,-5.099578819041363895e+07
-9.319319725036621094e+00,-1.588461666622795105e+10,-5.083809108478634804e+07
-9.299299240112304688e+00,-1.577625824863085365e+10,-5.067656999293260276e+07
-9.279279708862304688e+00,-1.566687680807096863e+10,-5.051127701087603718e+07
-9.259259223937988281e+00,-1.555648918407431412e+10,-5.034223393877173215e+07
-9.239239692687988281e+00,-1.544513334836073685e+10,-5.016949525113385916e+07
-9.219219207763671875e+00,-1.533282633313731194e+10,-4.999308367205493152e+07
-9.199199676513671875e+00,-1.521960665096922874e+10,-4.981305598202244192e+07
-9.179179191589355469e+00,-1.510549149159265709e+10,-4.962943578493569046e+07
-9.159159660339355469e+00,-1.499051985191198921e+10,-4.944228209183649719e+07
-9.139139175415039062e+00,-1.487470904374237633e+10,-4.925161934067227691e+07
-9.119118690490722656e+00,-1.475809291760135269e+10,-4.905749936633041501e+07
-9.099099159240722656e+00,-1.464070559290700340e+10,-4.885997537913819402e+07
-9.079078674316406250e+00,-1.452256449768937302e+10,-4.865907297902567685e+07
-9.059059143066406250e+00,-1.440370958956636047e+10,-4.845485640580713749e+07
-9.039038658142089844e+00,-1.428415832929621696e+10,-4.824735197264131904e+07
-9.019019126892089844e+00,-1.416395095800228691e+10,-4.803662586528260261e+07
-8.998998641967773438e+00,-1.404310493337362862e+10,-4.782270505951283127e+07
-8.978979110717773438e+00,-1.392166072229518509e+10,-4.760565760047005862e+07
-8.958958625793457031e+00,-1.379963574368952560e+10,-4.738551107482350618e+07
-8.938939094543457031e+00,-1.367707063252551651e+10,-4.716233529851552844e+07
-8.918918609619140625e+00,-1.355398273345009613e+10,-4.693615841635414213e+07
-8.898899078369140625e+00,-1.343041279202780914e+10,-4.670705192465565354e+07
-8.878878593444824219e+00,-1.330637804339629936e+10,-4.647504447272456437e+07
-8.858859062194824219e+00,-1.318191928653910828e+10,-4.624020914514428377e+07
-8.838838577270507812e+00,-1.305705361221269417e+10,-4.600257504130008817e+07
-8.818819046020507812e+00,-1.293182181607530212e+10,-4.576221674043600261e+07
-8.798798561096191406e+00,-1.280624081007707787e+10,-4.551916373695056140e+07
-8.778779029846191406e+00,-1.268035133035824013e+10,-4.527349200982054323e+07
-8.758758544921875000e+00,-1.255417007616769981e+10,-4.502523139286077768e+07
-8.738739013671875000e+00,-1.242773766860351562e+10,-4.477445916871147603e+07
-8.718718528747558594e+00,-1.230107056093040848e+10,-4.452120545459990948e+07
-8.698698997497558594e+00,-1.217420920446335220e+10,-4.426554873979948461e+07
-8.678678512573242188e+00,-1.204716977389162254e+10,-4.400751936866208166e+07
-8.658658981323242188e+00,-1.191999249690149689e+10,-4.374719693928423524e+07
-8.638638496398925781e+00,-1.179269323778458977e+10,-4.348461196669295430e+07
-8.618618965148925781e+00,-1.166531194775716400e+10,-4.321984505939909071e+07
-8.598598480224609375e+00,-1.153786414973504829e+10,-4.295292684661573917e+07
-8.578578948974609375e+00,-1.141038946673320770e+10,-4.268393884844096005e+07
